Pixel,Cost of Pixel,Tuna Suitability,Shark Suitability
332,18.41213023,1.812721965,1.354284199
333,1.206812967,1.791495467,1.345262256
334,11.54843339,1.726204833,1.325543229
335,13.63725359,1.749301498,1.780404847
336,27.06495174,1.828408158,2.701965015
337,27.15851296,1.727884905,2.727223972
338,36.54547096,1.784013318,2.090719499
339,48.4131846,1.795917837,2.543850904
340,20.54024134,1.806236728,2.000656556
341,1.094740491,1.698237156,1.867631419
342,1.155990735,1.873076218,1.365610829
343,7.217071109,1.850345856,1.223215055
344,12.64377787,1.808823429,1.368206831
345,20.08891694,1.769791518,1.374506575
346,24.9872397,1.852651535,1.280327394
347,23.93097032,1.722335626,1.31288881
348,31.54720598,1.8554686,1.391741059
349,16.49168151,1.748757358,1.254971731
350,20.60225592,1.847668243,1.263748337
351,19.35213142,1.75538917,1.251758679
352,23.57014136,1.759837464,1.228989806
353,34.4719176,1.502295824,0.940954695
354,44.15933978,1.452760141,0.992166087
355,41.22115888,1.423633266,1.90101207
356,28.55611187,1.342223596,1.807231721
357,31.08980712,1.388378314,1.896869451
358,51.09547531,1.450532347,2.983564639
359,42.14545926,1.375431118,2.29059288
360,22.59175143,1.363795853,1.897311329
361,28.15646858,1.503464798,1.803756403
362,24.61727944,1.468636728,1.797594666
363,10.49748194,1.373383412,1.746185427
364,17.65233371,1.468297524,1.015190463
365,14.06474715,1.405596195,1.004523898
366,18.99943612,1.451942796,0.941473495
367,23.72492048,1.451291845,0.98935002
368,29.60642362,1.490793531,1.055430355
369,24.37504168,1.444849505,1.130974584
370,30.609532,1.371494195,0.934879335
371,30.54354297,1.505606036,1.033069809
372,27.40150866,1.489091971,1.052585921
373,21.09049727,1.417788312,1.058040116
374,26.24461918,1.401712576,1.100792229
375,47.81864495,1.389480495,2.124243587
376,52.77382459,1.337885326,2.451812928
377,57.42868166,1.447848089,1.781138852
378,50.86882047,1.453587427,1.795139439
379,38.33073034,1.334956788,1.218853613
380,56.24061708,1.410336151,1.658332713
381,41.95861235,1.421002755,1.556980059
382,39.51851452,1.497931734,1.632215194
383,40.09569437,1.389119565,2.450643126
384,39.03985704,1.364096699,1.08011168
385,32.00991171,1.327133592,1.843012423
386,31.53417023,1.373329238,1.51703071
387,23.5051456,1.315027745,1.105210344
388,23.87449694,1.502268211,0.964128314
389,25.84855479,1.42028272,0.937086558
390,28.53154163,1.418687722,1.12275392
391,19.92192498,1.36654431,1.036214647
392,23.72435531,1.495148203,0.990007001
393,35.84423428,1.417071457,1.020941433
394,34.64648933,1.432856459,0.973590222
395,30.49174359,1.475182835,1.130802823
396,32.33956812,1.340525514,1.052300273
397,50.44939715,1.315521303,1.379814097
398,51.48796894,1.436417561,1.386090861
399,50.0129234,1.306843277,1.147275362
400,55.17989498,1.446949366,1.820665631
401,47.63241693,1.313624812,1.180523368
402,45.30014906,1.472330046,1.05724085
403,45.0542725,1.392621922,1.118023456
404,42.03258992,1.340280237,1.030404518
405,44.62712968,1.43938483,1.878141
406,46.7601243,1.495627951,1.112781937
407,41.32963546,1.321213544,1.118234257
408,37.2534115,1.444219637,1.100088101
409,34.03668899,1.477712992,1.032015816
410,28.34446191,1.415312516,0.98115744
411,28.52630468,1.443551286,1.004818818
412,34.66433227,1.499086822,1.097947256
413,27.64712002,1.375207926,1.069604359
414,20.47727323,1.496874962,0.933507344
415,22.39396666,1.324470981,1.062897992
416,25.20848947,1.504394113,0.963615607
417,9.768645484,1.503535834,1.126006087
418,20.21830995,1.354176665,1.125702112
419,44.50392764,1.390384872,1.102464165
420,47.34798366,1.488864002,1.09417282
421,48.13590448,1.343965502,1.919989317
422,50.88284376,1.312607494,1.802032012
423,45.80545693,1.448182314,1.249869721
424,38.88830949,1.309818448,0.970493263
425,37.94544401,1.442619051,1.057720153
426,34.55483217,1.468314005,1.073752058
427,40.3808279,1.433653724,1.126145622
428,41.32679268,1.32203878,0.997795154
429,43.76693896,1.317661266,0.99191785
430,38.80884168,1.340796178,1.09413807
431,33.39311504,1.400822577,1.023431007
432,29.99641344,1.395093229,1.015808883
433,20.73856779,1.454489618,0.950638716
434,31.40174621,1.416933214,1.110978342
435,29.83815235,1.365637239,0.979496652
436,23.48382464,1.410022496,1.11393455
437,16.10730332,1.370701896,0.967134484
438,1.299408743,1.416662145,0.975654893
439,12.50663514,1.412897015,0.988314444
440,13.19701944,1.425460306,0.993133765
441,22.8802624,0.905352827,1.213979522
442,31.32896239,0.928147274,1.13083289
443,36.16774551,0.940264651,1.805274142
444,36.95195938,0.919009171,1.228904707
445,25.84148693,0.806032223,0.96475137
446,22.14318611,0.828607345,1.095215001
447,10.36091845,1.361838152,1.054154415
448,16.56911987,1.457780695,1.027009351
449,31.19381264,1.473645737,1.074072297
450,30.53765579,1.331919869,1.105528473
451,33.09179372,1.410512115,0.982052906
452,30.56424992,1.39154588,1.077201555
453,29.82804968,0.940600675,0.942304897
454,29.85555496,0.836001129,0.998368614
455,24.11433915,0.798611601,0.995592168
456,23.85415352,0.938639299,1.256082853
457,21.3738736,0.858931068,0.758906035
458,1.187939475,0.842246278,0.792018786
459,1.269246012,0.84360407,0.849372275
460,1.210236156,0.786719068,0.852820656
461,10.55808318,0.936244508,0.723514169
462,1.187832686,0.800004241,0.730245354
463,1.272302133,0.834147436,1.256998072
464,22.13840277,0.845771752,1.081788956
465,7.97044256,0.935230211,1.088204025
466,18.64731404,0.809835885,1.015843227
467,13.7326094,0.937996423,0.934596607
468,13.68281481,0.746693452,0.956036773
469,1.133560152,1.378134297,1.085581577
470,1.065157582,1.362334957,0.958435177
471,17.18769065,1.316653935,0.937590763
472,22.83998637,1.417896419,1.072608318
473,20.76574024,1.321933595,1.082318445
474,20.58089669,1.497133694,0.972618242
475,17.56444923,0.907279166,1.030514074
476,22.43044108,0.906374809,1.202665582
477,15.99479512,0.871813878,1.146215847
478,12.45923448,0.823599752,1.182302516
479,14.15945555,0.939494363,0.726613549
480,1.214501519,0.792358196,0.858584151
481,1.274856922,0.783226415,0.743054932
482,1.172080384,0.927477988,0.705780917
483,1.170240816,0.818183956,0.80662579
484,1.048547605,0.811595856,0.758458304
